name,initial value
t,0
firstPeriodLowcarb,NA
exith,0
Vf,15333.33333
Vw,40000
Vfe,15333.33333
Vff,15333.33333
Vffe,15333.33333
Nc,633.3333333
Nl,0
Nh,166.6666667
Ntot,800
Aprc,0.144
Aprl,0
Aprh,0.144
omegaTc,0.0864
omegaTh,0.0864
omegaTl,0
Wc,10
Wh,10
Wl,0
Fc,2911.222222
Fl,0
Fh,766.1111111
Fce,2911.222222
Fle,0
Fhe,766.1111111
Fcgr,NA
Flgr,NA
Fhgr,NA
Fcmean,NA
Flmean,NA
Fhmean,NA
FDl,0
FDc,712.1481481
FDh,187.4074074
FDb,1656
FDbe,1656
FDle,0
FDce,712.1481481
FDhe,187.4074074
FDbgr,NA
FDcgr,NA
FDlgr,NA
FDhgr,NA
FDbmean,NA
FDcmean,NA
FDlmean,NA
FDhmean,NA
cw1,NA
cf0,NA
cf1,NA
cs,114
exc1,NA
exc2,NA
cw,69.12
cf,22.08
Cw,8000
Cf,2555.555556
vf,132.48
vw,345.6
YDw,8000
ydw,69.12
YDwe,8000
ydwe,69.12
YDwgr,NA
YDwmean,NA
YDf,2555.555556
ydf,22.08
YDfe1,NA
YDfe,2555.555556
ydfe,22.08
YPc,NA
YPce,NA
CG,0
CGc,0
CGh,0
CGl,0
cgc,0
cgh,0
cgl,0
CGce,0
CGhe,0
CGle,0
cgce,0
cghe,0
cgle,0
CGcgr,NA
CGlgr,NA
CGhgr,NA
CGcmean,NA
CGlmean,NA
CGhmean,NA
Ms,41400
Mw,40000
Mf,1400
Mlleft,NA
Ml,0
Loansl,0
Loansc,32775
Loansh,8625
LoansDem,41400
intrc,0.04
intrh,0.04
intrl,0
rintrc,0.04
rintrl,0
rintrh,0.04
lambdac,0.7452
lambdal,0
lambdah,0.7452
Invc,2199.074074
Invh,578.7037037
Invl,0
Invexh,NA
Invexl,NA
Invexc,NA
Psih,NA
Psil,NA
Psic,NA
esc,0
esh,0
esl,0
ec,100
eh,50
el,0
REh,578.7037037
REl,0
REc,2199.074074
khc,380
khl,0
khh,100
klc,0
kll,0
depkhh,5
depkhl,0
depkll,0
depkhcT,19
depkhc,19
depklc,0
gkh,NA
gkl,NA
gc,0
lambdacprev,NA
lambdalprev,NA
lambdahprev,NA
invyc,NA
invcl,0
invch,19
z11,NA
z12,NA
costkh,385.8024691
costkl,0
gkhh,0
invhh,5
khsold,25
invhtot,NA
invll,0
invlh,0
klsold,0
yc,91.2
yl,0
yh,24
Yc,10555.55556
Yl,0
Yh,2777.777778
yce,91.2
yle,0
yhe,24
uc,0.8
ul,0
uh,0.8
uce,0.8
ule,0
uhe,0.8
ulc1,NA
ulc,NA
ull1,NA
ull,0
ulce,0
ulle,0
uhc,NA
uhl,0
uhh,0.8
uhce,0.8
uhle,0
uhhe,0.8
pc,115.7407407
pkl,0
pkh,115.7407407
UCc,69.44444444
UCl,0
UCh,69.44444444
UChe,69.44444444
UCle,0
UCce,69.44444444
NUCh,69.44444444
NUCl,0
NUCc,69.44444444
phil,0
phic,0.666666667
phih,0.666666667
pic,0
pikl,0
pikh,0
pickhl,NA
pce,107.2180476
ple,0
phe,64.23057152
MfDf,1400
lambda20,0.649166667
lambda30,0.170833333
lambda20a,0.649166667
lambda30a,0.170833333
lambda40a,0
qc,0.956750321
qh,1.088995561
ql,0
qcprev,NA
qhprev,NA
qlprev,NA
profratec,NA
profratel,NA
profrateh,0.066192
intrhistc,NA
sumkc,NA
intrhistl,NA
sumkl,NA
intrhisth,NA
sumkh,NA
expprofratec,NA
expprofratel,NA
expprofrateh,NA
expdivratec,0.066420548
expdivrateh,0.058354582
expdivratel,0
RRm,NA
RRc,0.112648024
RRh,0.098968295
RRl,0
tucic,NA
tuchc,NA
beta_inv,NA
incld,NA
inchd,NA
Ncmax,NA
FDhT,NA
REhT,NA
Mhin,NA
Mhleft,NA
Mhtot,NA
FDlT,NA
RElT,NA
Mlin,NA
Mltot,NA
FDcT,NA
REcT,NA
Mcin,NA
Mcleft,NA
Mctot,NA
khcgr,0
khhgr,0
khlgr,0
klcgr,0
kllgr,0
totkcgr,NA
totkhgr,0
totklgr,0
totkgr,0
sharekh,NA
sharekl,NA
kllgre,0
khhgre,0
khlgre,0
khcgrmeanbau,NA
khhgrmeanbau,NA
khlgrmeanbau,NA
klcgrmeanbau,NA
kllgrmeanbau,NA
totkgrmeanbau,NA
khhgrmeane,NA
khlgrmeane,NA
kllgrmeane,NA
khcgrmeane,NA
klcgrmeane,NA
khcperc,NA
klcperc,NA
khlperc,NA
kllperc,NA
khhperc,NA
xkhc,NA
xklc,NA
xkhh,NA
xkhl,NA
xkll,NA
PVyc,NA
PVyh,NA
PVyl,NA
ypotce,NA
ypothe,NA
ypotle,NA
cg,0
FDbraw,NA
bailout,NA
Mcon,0
Mh,0
mktshareh,NA
uTh,0.8
uTc,0.8
uTl,0.8
prkh,0.3
LF,1000
u,0.2
n,20
ws,0.6
xif1,0.7
xif2,0.05
xif3,0.02
xiw1,0.9
xiw2,0.02
wage,10
intrbase,0.03
beta,0.3
intrbench,0.073
Omega3,0
eta1,0.05
eta2,0.3
eta3,0.05
Omega0,0.3
Omega1,0.1
prkl,0.3
epsilon,0.1
theta,0.25
chi,0.25
nu,0.25
chi1a,0.333333333
chi1,0.375
chi1b,0.25
rho,0.03
tau,0.01
lambda10s,0.18
nLoans,5
entry,20
back,4
caplabratiohc,0.48
caplabratiolc,0.48
caplabratiohh,0.48
caplabratiohl,0.528
caplabratioll,0.528
rcT,0.096
rhT,0.096
rlT,0.096
Omega2,0.08875812
eta0c,-0.078895116
eta0h,-0.085507378
lambda10,0.18
lambda11,1.257402822
lambda12,-0.419134274
lambda13,-0.419134274
lambda21,-0.419134274
lambda22,0.628701411
lambda23,-0.209567137
lambda31,-0.419134274
lambda32,-0.209567137
lambda33,0.628701411
lambda10a,0.18
lambda11a,1.257402822
lambda12a,-0.419134274
lambda13a,-0.419134274
lambda14a,-0.419134274
lambda21a,-0.419134274
lambda22a,0.628701411
lambda23a,-0.104783568
lambda24a,-0.104783568
lambda31a,-0.419134274
lambda32a,-0.104783568
lambda33a,0.314350705
lambda34a,-0.104783568
lambda41a,-0.419134274
lambda42a,-0.104783568
lambda43a,-0.104783568
lambda44a,0.628701411
kappa,-101.8136282
zeta,0.1
eta,0
gh,0
gl,0
gkll,0
pickaverage,0
Ifh,0
psih,0
Ifl,0
psil,0
rl,0
uklc,0
ukhc,0.8
Ifc,0
psic,0
rc,0.066192
YPf,2555.555556
YPfe,2555.555556
irrational,0
irrational2,0
irrational3,0.04
irrational4,0
deltal,20
deltah,20
beta0,1
beta1,150
initlambda,0
tokcgr,0
thetashock,0
phi,0
RRcT,0.066420548
RRhT,0.058354582
RRlT,0.058354582
lambdacT,0.7452
lambdahT,0.7452
lambdalT,0.7452
